person_id,first_name,last_name,display_first_last,birthdate,country,height,weight,jersey,position,team_id,team_name,team_abbreviation,team_city,from_year,to_year,draft_year,draft_round,draft_number
51,Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,1969-03-09,USA,6-1,162.0,1,Guard,1610612743,Nuggets,DEN,Denver,1990.0,2000.0,1990,1,3
1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,1974-11-03,France,6-6,235.0,9,Forward-Guard,1610612758,Kings,SAC,Sacramento,1997.0,2003.0,1997,1,11
203112,Quincy,Acy,Quincy Acy,1990-10-06,USA,6-7,240.0,,Forward,0,,,,2012.0,2018.0,2012,2,37
200801,Hassan,Adams,Hassan Adams,1984-06-20,USA,6-4,220.0,,Forward,0,,,,2006.0,2008.0,2006,2,54
203919,Jordan,Adams,Jordan Adams,1994-07-08,USA,6-5,209.0,3,Guard,1610612763,Grizzlies,MEM,Memphis,2014.0,2015.0,2014,1,22
912,Rafael,Addison,Rafael Addison,1964-07-22,USA,6-8,241.0,7,Forward,1610612751,Nets,NJN,New Jersey,1986.0,1996.0,1986,2,39
201336,Blake,Ahearn,Blake Ahearn,1984-05-27,USA,6-2,190.0,2,Guard,1610612748,Heat,MIA,Miami,2007.0,2011.0,Undrafted,Undrafted,Undrafted
202374,Solomon,Alabi,Solomon Alabi,1988-03-21,Nigeria,7-1,252.0,50,Center,1610612761,Raptors,TOR,Toronto,2010.0,2011.0,2010,2,50
76019,Mark,Alarie,Mark Alarie,1963-12-11,USA,6-8,217.0,31,Forward,1610612764,Bullets,WAS,Washington,1986.0,1990.0,1986,1,18
203128,Furkan,Aldemir,Furkan Aldemir,1991-08-09,Turkey,6-10,240.0,19,Forward-Center,1610612755,76ers,PHI,Philadelphia,2014.0,2014.0,2012,2,53
200746,LaMarcus,Aldridge,LaMarcus Aldridge,1985-07-19,USA,6-11,250.0,21,Center-Forward,1610612751,Nets,BKN,Brooklyn,2006.0,2021.0,2006,1,2
1626146,Cliff,Alexander,Cliff Alexander,1995-11-16,USA,6-8,240.0,34,Forward,1610612757,Trail Blazers,POR,Portland,2015.0,2015.0,Undrafted,Undrafted,Undrafted
76022,Gary,Alexander,Gary Alexander,1969-11-01,USA,6-7,240.0,16,Forward,1610612739,Cavaliers,CLE,Cleveland,1993.0,1993.0,Undrafted,Undrafted,Undrafted
1629734,Kyle,Alexander,Kyle Alexander,1996-10-21,Canada,6-10,216.0,17,Forward-Center,1610612748,Heat,MIA,Miami,2019.0,2019.0,Undrafted,Undrafted,Undrafted
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1998-09-02,Canada,6-5,205.0,9,Guard,1610612750,Timberwolves,MIN,Minnesota,2019.0,2022.0,2019,1,17
1628960,Grayson,Allen,Grayson Allen,1995-10-08,USA,6-4,198.0,12,Guard,1610612749,Bucks,MIL,Milwaukee,2018.0,2022.0,2018,1,21
706,Jerome,Allen,Jerome Allen,1973-01-28,USA,6-4,184.0,53,Guard,1610612754,Pacers,IND,Indiana,1995.0,1996.0,1995,2,49
2124,Malik,Allen,Malik Allen,1978-06-27,USA,6-10,255.0,35,Forward,1610612748,Heat,MIA,Miami,2001.0,2010.0,Undrafted,Undrafted,Undrafted
1824,Peter,Aluma,Peter Aluma,1973-04-26,USA,6-10,260.0,,Center,0,,,,1998.0,1998.0,Undrafted,Undrafted,Undrafted
732,Ashraf,Amaya,Ashraf Amaya,1971-11-23,USA,6-8,230.0,,Forward,0,,,,1995.0,1996.0,Undrafted,Undrafted,Undrafted
2365,Chris,Andersen,Chris Andersen,1978-07-07,USA,6-10,245.0,,Forward-Center,0,,,,2001.0,2016.0,Undrafted,Undrafted,Undrafted
101187,Alan,Anderson,Alan Anderson,1982-10-16,USA,6-6,220.0,9,Forward-Guard,1610612751,Nets,BKN,Brooklyn,2005.0,2016.0,Undrafted,Undrafted,Undrafted
202079,Antonio,Anderson,Antonio Anderson,1985-06-05,USA,6-6,215.0,,Guard,0,,,,2009.0,2009.0,Undrafted,Undrafted,Undrafted
1626147,Justin,Anderson,Justin Anderson,1993-11-19,USA,6-5,231.0,,Forward-Guard,0,,,,2015.0,2021.0,2015,1,21
72,Kenny,Anderson,Kenny Anderson,1970-10-09,USA,6-1,168.0,,Guard,0,,,,1991.0,2004.0,1991,1,2
203937,Kyle,Anderson,Kyle Anderson,1993-09-20,USA,6-9,230.0,5,Forward-Guard,1610612750,Timberwolves,MIN,Minnesota,2014.0,2022.0,2014,1,30
98,Nick,Anderson,Nick Anderson,1968-01-20,USA,6-6,228.0,5,Forward-Guard,1610612753,Magic,ORL,Orlando,1989.0,2002.0,1989,1,11
1000,Shandon,Anderson,Shandon Anderson,1973-12-31,USA,6-6,215.0,49,Guard-Forward,1610612752,Knicks,NYK,New York,1996.0,2005.0,1996,2,54
335,Willie,Anderson,Willie Anderson,1967-01-08,USA,6-8,200.0,35,Guard-Forward,1610612759,Spurs,SAS,San Antonio,1988.0,1996.0,1988,1,10
