game_date_est,game_id,team_id_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_home,team_id_away,pts_qtr1_away,pts_qtr2_away,pts_qtr3_away,pts_qtr4_away,pts_away
1996-11-01,29600009,1610612745,31.0,21.0,24.0,20.0,96,1610612758,24.0,11.0,19.0,31.0,85
1996-11-01,29600005,1610612748,25.0,28.0,23.0,18.0,94,1610612737,15.0,24.0,27.0,15.0,81
1996-11-01,29600004,1610612764,18.0,27.0,24.0,27.0,96,1610612753,26.0,26.0,19.0,21.0,92
1996-11-01,29600006,1610612761,28.0,17.0,30.0,24.0,99,1610612752,26.0,23.0,25.0,33.0,107
1996-11-01,29600013,1610612744,29.0,13.0,23.0,20.0,85,1610612746,27.0,18.0,30.0,22.0,97
1996-11-01,29600008,1610612759,15.0,25.0,11.0,27.0,78,1610612750,24.0,15.0,15.0,28.0,82
1996-11-01,29600010,1610612743,26.0,22.0,23.0,20.0,91,1610612742,26.0,22.0,20.0,24.0,92
1996-11-01,29600014,1610612763,26.0,27.0,16.0,16.0,85,1610612757,29.0,27.0,30.0,28.0,114
1996-11-01,29600012,1610612747,26.0,31.0,15.0,24.0,96,1610612756,20.0,20.0,29.0,13.0,82
1996-11-01,29600003,1610612755,28.0,23.0,29.0,23.0,103,1610612749,31.0,27.0,29.0,24.0,111
1996-11-01,29600001,1610612738,28.0,31.0,18.0,21.0,98,1610612741,27.0,21.0,32.0,27.0,107
1996-11-01,29600007,1610612765,16.0,25.0,27.0,27.0,95,1610612754,17.0,28.0,14.0,30.0,89
1996-11-01,29600011,1610612760,23.0,23.0,25.0,20.0,91,1610612762,28.0,25.0,22.0,24.0,99
1996-11-01,29600002,1610612751,19.0,20.0,16.0,22.0,77,1610612739,28.0,25.0,17.0,20.0,90
1996-11-02,29600016,1610612766,30.0,22.0,33.0,24.0,109,1610612761,27.0,23.0,29.0,19.0,98
1996-11-02,29600022,1610612756,13.0,27.0,25.0,30.0,95,1610612745,31.0,18.0,28.0,33.0,110
1996-11-02,29600020,1610612738,21.0,15.0,33.0,33.0,102,1610612749,35.0,29.0,32.0,28.0,124
1996-11-02,29600019,1610612741,27.0,35.0,33.0,20.0,115,1610612755,17.0,21.0,26.0,22.0,86
1996-11-02,29600021,1610612742,24.0,13.0,22.0,35.0,94,1610612758,25.0,31.0,28.0,23.0,107
1996-11-02,29600015,1610612764,18.0,24.0,31.0,17.0,96,1610612739,22.0,20.0,24.0,24.0,98
1996-11-02,29600018,1610612754,29.0,19.0,18.0,29.0,95,1610612748,22.0,25.0,28.0,22.0,97
1996-11-02,29600017,1610612765,23.0,17.0,24.0,26.0,90,1610612737,20.0,24.0,15.0,19.0,78
1996-11-02,29600023,1610612746,21.0,20.0,22.0,27.0,90,1610612762,26.0,20.0,32.0,17.0,95
1996-11-02,29600024,1610612757,26.0,11.0,27.0,29.0,93,1610612760,27.0,27.0,28.0,22.0,104
1996-11-03,29600025,1610612752,37.0,33.0,19.0,24.0,113,1610612766,11.0,25.0,20.0,30.0,86
1996-11-03,29600028,1610612744,33.0,19.0,23.0,30.0,105,1610612763,20.0,26.0,25.0,24.0,95
1996-11-03,29600027,1610612747,17.0,23.0,25.0,26.0,91,1610612750,23.0,24.0,22.0,16.0,85
1996-11-03,29600026,1610612743,25.0,27.0,12.0,24.0,88,1610612759,18.0,16.0,22.0,23.0,79
1996-11-04,29600030,1610612757,13.0,27.0,19.0,17.0,76,1610612737,32.0,28.0,17.0,17.0,94
1996-11-04,29600029,1610612745,19.0,11.0,26.0,19.0,75,1610612762,19.0,18.0,26.0,9.0,72
